[ 2013-09-06T17:46:33+08:00 ] /xnfy520_yaomai/Public/js/jqueryUi/images/ui-bg_flat_75_ffffff_40x100.png | ERR: (ThinkException) 非法操作js
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000318s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002036s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000345s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002027s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000326s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001741s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000301s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001562s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000385s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001839s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000222s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.029602s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000325s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.042952s ]
[ 2013-09-06T17:55:19+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000292s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.043229s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000232s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_carts` [ RunTime:0.065941s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_carts` WHERE by_user=42 LIMIT 1   [ RunTime:0.000258s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.065999s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.000273s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.033014s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.000241s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.044177s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000324s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.021219s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000215s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.043676s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000243s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_member_order` [ RunTime:0.031607s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE uid=42 AND commodity_type=4 LIMIT 1   [ RunTime:0.000292s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: page ajax_page.class.php 第 20 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT * FROM `xnfy520_yaomai_member_order` WHERE uid=42 AND commodity_type=4 ORDER BY create_date desc LIMIT 0 ,5   [ RunTime:0.000193s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_vote_commodity` [ RunTime:0.042994s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | SQL: SELECT `id`,`no`,`name`,`image`,`enable`,`recommend`,`sort`,`views`,`price`,`create_date`,`modify_date`,`description`,`p1`,`p2`,`p3`,`stylist_id`,`stylist_say`,`measure`,`subscribe`,`expiration_date`,`sales_volume`,`subscribe_volume`,`subscription`,`votes`,`vote`,`production_tracking` FROM `xnfy520_yaomai_vote_commodity` WHERE ( `id` = '4' ) LIMIT 1   [ RunTime:0.000539s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_template ] --START--
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run LocationTemplate Behavior [ RunTime:0.000246s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_template ] --END-- [ RunTime:0.000300s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_parse ] --START--
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: page 807cf8ea7aafd599964f33097d725fc4.php 第 355 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' 807cf8ea7aafd599964f33097d725fc4.php 第 535 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined variable: fake_action_name 807cf8ea7aafd599964f33097d725fc4.php 第 539 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined variable: define_fake_action_value 807cf8ea7aafd599964f33097d725fc4.php 第 541 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: status 807cf8ea7aafd599964f33097d725fc4.php 第 543 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: page 807cf8ea7aafd599964f33097d725fc4.php 第 547 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: pid 807cf8ea7aafd599964f33097d725fc4.php 第 549 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: rid 807cf8ea7aafd599964f33097d725fc4.php 第 551 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: sid 807cf8ea7aafd599964f33097d725fc4.php 第 553 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: cid 807cf8ea7aafd599964f33097d725fc4.php 第 555 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: id 807cf8ea7aafd599964f33097d725fc4.php 第 557 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: category 807cf8ea7aafd599964f33097d725fc4.php 第 559 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: where 807cf8ea7aafd599964f33097d725fc4.php 第 561 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: price 807cf8ea7aafd599964f33097d725fc4.php 第 563 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: sales 807cf8ea7aafd599964f33097d725fc4.php 第 565 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: search_key 807cf8ea7aafd599964f33097d725fc4.php 第 567 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: type 807cf8ea7aafd599964f33097d725fc4.php 第 571 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: search 807cf8ea7aafd599964f33097d725fc4.php 第 573 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [8] Undefined index: when 807cf8ea7aafd599964f33097d725fc4.php 第 575 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ParseTemplate Behavior [ RunTime:0.023062s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023102s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_filter ] --START--
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ContentReplace Behavior [ RunTime:0.000704s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run TokenBuild Behavior [ RunTime:0.000178s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000103s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ShowRuntime Behavior [ RunTime:0.000261s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001337s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/weizhang/Documents/WebServer/ThinkPHP/Extend/Library/ORG/Util/ajax_page.class.php:1) View.class.php 第 120 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/weizhang/Documents/WebServer/ThinkPHP/Extend/Library/ORG/Util/ajax_page.class.php:1) View.class.php 第 121 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/weizhang/Documents/WebServer/ThinkPHP/Extend/Library/ORG/Util/ajax_page.class.php:1) View.class.php 第 122 行.
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_end ] --START--
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Run ShowPageTrace Behavior [ RunTime:0.000208s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Member/voteOrder | INFO: Tag[ view_end ] --END-- [ RunTime:0.000241s ]
[ 2013-09-06T17:55:20+08:00 ] /xnfy520_yaomai/Public/js/jqueryUi/images/ui-bg_flat_75_ffffff_40x100.png | ERR: (ThinkException) 非法操作js
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ route_check ] --START--
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run CheckRoute Behavior [ RunTime:0.000615s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ route_check ] --END-- [ RunTime:0.000697s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000397s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000453s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.005616s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001705s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.000247s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001686s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000877s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001535s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000207s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001369s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000212s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002722s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000255s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000206s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001937s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000332s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001997s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000303s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002440s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000293s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002437s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000308s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.003610s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.000327s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002795s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000349s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001747s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000465s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001958s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000286s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001674s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000301s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.033046s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000710s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.042676s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000301s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.066649s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000358s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.053684s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000224s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.043779s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000308s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_carts` [ RunTime:0.012284s ]
[ 2013-09-06T17:56:46+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_carts` WHERE by_user=42 LIMIT 1   [ RunTime:0.000248s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.021493s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.000243s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.001943s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.000217s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.018527s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000274s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.010382s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000212s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.021662s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000243s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.022322s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000367s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.010284s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000216s ]
[ 2013-09-06T17:56:47+08:00 ] /xnfy520_yaomai/Member/completeOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.009786s ]
